HAVE YOU NEVER BEEN MELLOW,THE OLIVIA PROJECT,DanceDanceRevolution 1st Mix,126,Variety ,,have,1 3 5 7 12 0 4 6 7 11
THAT'S THE WAY (I LIKE IT),KC & THE SUNSHINE BAND,DanceDanceRevolution 1st Mix,109,Variety ,,that,1 3 4 6 11 0 4 6 7 11
KUNG FU FIGHTING,BUS STOP featuring CARL DOUGLAS,DanceDanceRevolution 1st Mix,116,Variety ,,kung,2 4 5 6 10 0 5 6 7 10
LET'S GET DOWN,JT PLAYAZ,DanceDanceRevolution 1st Mix,130,Variety ,,lets,2 5 6 7 12 0 6 7 8 10
BUTTERFLY,SMiLE.dk,DanceDanceRevolution 1st Mix,135,Variety ,,butt,2 5 6 8 11 0 6 7 9 12
MY FIRE (UKS Remix),X-TREME,DanceDanceRevolution 1st Mix,130,Variety ,,myfi,2 6 7 8 13 0 6 7 9 10
STRICTLY BUSINESS,MANTRONIK VS EPMD,DanceDanceRevolution 1st Mix,125,Variety ,,stri,0 5 7 8 0 0 5 6 0 0
LITTLE BITCH,THE SPECIALS,DanceDanceRevolution 1st Mix,158,Variety ,,litt,3 6 8 9 11 0 6 8 10 12
MONEY,RAGGA TWINS,DanceDanceRevolution 1st Mix,116,Variety ,,bmone,0 6 8 11 0 0 7 10 0 0
MAKE IT BETTER,mitsu-O!,DanceDanceRevolution 1st Mix,119,,,make,3 7 9 11 0 0 7 9 11 0
TRIP MACHINE,DE-SIRE,DanceDanceRevolution 1st Mix,160,,,trip,3 8 9 10 0 0 9 10 10 0
PARANOiA,180,DanceDanceRevolution 1st Mix,180,,,para,4 8 9 11 0 0 8 13 11 0
SMOKE,MR.ED JUMPS THE GUN,DanceDanceRevolution 2nd Mix,135,Variety ,,smok,2 6 7 9 10 0 6 8 9 10
BOOM BOOM DOLLAR,King Kong & D.Jungle Girls,DanceDanceRevolution 2nd Mix,135,Variety ,,boom,2 4 7 9 11 0 5 7 10 11
BAD GIRLS,Juliet Roberts,DanceDanceRevolution 2nd Mix,122,Variety ,,badg,2 4 6 8 11 0 5 7 8 11
BOYS,SMiLE.dk,DanceDanceRevolution 2nd Mix,138,Variety ,,boys,2 5 6 10 13 0 5 6 8 11
PUT YOUR FAITH IN ME,UZI-LAY,DanceDanceRevolution 2nd Mix,120,,,puty,3 5 6 9 0 0 6 8 8 0
BRILLIANT 2U,NAOKI ,DanceDanceRevolution 2nd Mix,150,,,bril,3 6 6 10 10 0 6 7 9 10
PUT YOUR FAITH IN ME (Jazzy Groove),UZI-LAY,DanceDanceRevolution 2nd Mix,120,,,puty2,2 6 7 9 11 0 7 8 11 11
BRILLIANT 2U (Orchestra Groove),NAOKI,DanceDanceRevolution 2nd Mix,150,,,bril2,4 6 8 9 12 0 6 8 9 12
MAKE IT BETTER (So-REAL Mix),mitsu-O!SUMMER,DanceDanceRevolution 2nd Mix,118,,,make2,2 7 8 10 12 0 7 9 11 12
DUB-I-DUB,ME & MY,DanceDanceRevolution 2nd Mix,136,Variety ,,dubi,2 7 9 11 13 0 7 11 10 12
Stomp To My Beat,JS16,DanceDanceRevolution 2nd Mix,134,Variety ,,stom,3 7 8 10 11 0 7 8 9 13
HERO,PAPAYA,DanceDanceRevolution 2nd Mix,138,Variety ,,hero,0 6 8 10 0 0 6 7 10 0
GET UP'N MOVE,S&K,DanceDanceRevolution 2nd Mix,132,Variety ,,getu,3 8 8 11 12 0 7 9 10 12
IF YOU WERE HERE,JENNIFER,DanceDanceRevolution 2nd Mix,145,Variety ,,ifyo,2 7 8 10 14 0 8 9 10 14
I believe in miracles,HI-RISE,DanceDanceRevolution 2nd Mix,125,Variety ,,ibel,2 7 8 11 12 0 8 9 11 12
AM-3P,KTz,DanceDanceRevolution 2nd Mix,130,,,star,3 7 8 11 12 0 8 9 10 12
SP-TRIP MACHINE ～JUNGLE MIX～,DE-SIRE,DanceDanceRevolution 2nd Mix,160,,,sptr,4 8 9 10 0 0 8 9 10 0
PARANOiA MAX ～DIRTY MIX～,190,DanceDanceRevolution 2nd Mix,190,,,para2,5 9 10 12 0 0 10 12 11 0
EL RITMO TROPICAL,DIXIES GANG,DanceDanceRevolution 2nd Mix,132,Variety ,,elri,2 4 9 11 0 0 6 8 9 0
TUBTHUMPING,CHUMBAWAMBA,DanceDanceRevolution 2nd Mix,104,Variety ,,tubt,1 5 6 8 0 0 3 6 8 0
LOVE,SONIC DREAM,DanceDanceRevolution 2nd Mix,129,Variety ,,love,0 3 7 8 12 0 3 7 8 0
MAKE A JAM!,U1,DanceDanceRevolution 2nd Mix,124,,,ajam,2 5 7 9 0 0 6 8 11 0
PARANOiA KCET ～clean mix～,2MB,DanceDanceRevolution 2nd Mix,180,,,clea,4 8 9 11 15 0 8 10 10 15
KEEP ON MOVIN',N.M.R,DanceDanceRevolution 2nd Mix,132,,,keep,4 5 7 9 0 0 5 9 10 0
Jam Jam Reggae,jam master '73,DanceDanceRevolution 2nd Mix,90,,,jamj,1 4 5 9 0 0 5 8 11 0
BEGINNING-OF-LIFE,QUADRA,DanceDanceRevolution 2nd Mix,110,,,begi,0 3 6 8 0 0 5 7 0 0
Do you love me?,reo-nagumo,DanceDanceRevolution 2nd Mix,100,,,doyo,0 3 7 8 0 0 3 8 0 0
OVERDOSER,MIRAK,DanceDanceRevolution 2nd Mix,132,,,over,0 6 7 8 0 0 4 8 0 0
5.1.1.,dj nagureo,DanceDanceRevolution 2nd Mix,101,,,five,1 2 6 6 0 0 2 6 8 0
GAMBOL,SLAKE,DanceDanceRevolution 2nd Mix,102,,,gamb,0 2 4 9 0 0 4 8 0 0
Be in my paradise,JJ COMPANY,DanceDanceRevolution 2nd Mix,63,,,bein,1 1 3 7 0 0 3 7 12 0
LOVE SO GROOVY,LOVEMINTS,DanceDanceRevolution 2nd Mix,141,,,sogr,0 3 4 8 0 0 4 8 0 0
Salamander Beat Crush mix,nite system,DanceDanceRevolution 2nd Mix,134,,,sala,0 6 9 10 0 0 6 9 0 0
